text,t_first_line,t_last_line,n_chars,n_tokens,video_id,video_duration,start_link,response,response_2
oh we're definitely in that road aren't we yeah okay you want to be careful with that,672.839,690.0,85,19,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=672,Critical level: 5 - The situation is somewhat critical because the driving instructor is cautioning the driver to be careful about something on the road.,"Oh, we're definitely on that road, aren't we? Yeah, okay. You want to be careful with that."
okay now as soon as we've tanned the traffic lights go right into the right hand lane again okay definitely when you stop at a t-junction next time make sure you're behind the giveaway line if we're slightly short of the line there's no harm in that yeah all right so looking at the space in the middle of the junction with nearside you have to only be on the first half of that space yeah so someone else could turn in yeah so the opposite side has space now with that we will be slightly earlier than the point of turn yeah so you have to travel forward and then turn the near side yeah if you're right next to your turning point then you know you're in the wrong position there yeah watch the last one i was too far ahead you were too far ahead yeah had somebody turned up opposite they wouldn't have had any space to actually position if you watch the van he's only on the first half and then he's turned,709.44,763.44,908,191,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=709,Critical level: 7 - This is a critical situation as the driver is providing important instructions for turning at a junction and ensuring proper placement on the road to prevent accidents or collisions with other vehicles.,"Okay, now as soon as we've passed the traffic lights, go right into the right-hand lane again. Okay, definitely when you stop at a T-junction next time, make sure you're behind the giveaway line. If we're slightly short of the line, there's no harm in that. Yeah, all right. So, looking at the space in the middle of the junction with nearside, you have to only be on the first half of that space, yeah. So, someone else could turn in. Yeah, so the opposite side has space now. With that, we will be slightly earlier than the point of turn, yeah, so you have to travel forward and then turn the nearside. If you're right next to your turning point, then you know you're in the wrong position there. Yeah, watch the last one. I was too far ahead. You were too far ahead. Yeah, had somebody turned up opposite, they wouldn't have had any space to actually position. If you watch the van, he's only on the first half and then he's turned."
yeah and even with this one again he's only on the first half it's offside where you'd have to go all the way to the other side and then wait okay and then slowly forward so imagine we had a car opposite us position so that they'd still have space that there yeah yeah and then we just sit there good use the accelerator a bit more just because it's an uphill gradient,765.36,799.04,368,79,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=765,3 - The driving situation is not very critical as the instructor is just giving the learner advice on how to navigate an uphill gradient with a car coming from the opposite side.,"Yeah, and even with this one again, he's only on the first half. It's offside where you'd have to go all the way to the other side and then wait, okay, and then slowly forward. So imagine we had a car opposite us. Position so that they still have space there, yeah? Yeah, and then we just sit there. Good. Use the accelerator a bit more, just because it's an uphill gradient."
think about your position on this road where should it be we're not gonna go past him are we breaking and good so you want to travel a meter from the pavement the whole time so as you're driving just keep an eye on the left hand side here quickly yeah so along the front there you remember that blue marker yeah it'll be just over with the edge of the pavement yeah and then keep it there where should you be here in the road um yeah because you can see the pavement shifted yeah,824.48,863.76,479,99,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=824,"4 - The situation is somewhat critical as the student driver needs to maintain their proper position on the road, but there doesn't appear to be any immediate danger or obstacles in their way.","Think about your position on this road - where should it be? We're not gonna go past him, are we? Breaking, and good. So, you want to travel a meter from the pavement the whole time. So, as you're driving, just keep an eye on the left-hand side here, quickly. Along the front there, you remember that blue marker? It'll be just over with the edge of the pavement. Yeah, and then keep it there. Where should you be here in the road? Um, yeah, because you can see the pavement shifted."
good position on the road here,903.839,903.839,30,6,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=903,"3 - While a good position on the road is important for safe driving, it is not an extremely critical situation at this moment in the video.",Good position on the road here.
just use your mirrors keep an eye on that guy behind he's not trying to overtake anything but just further to the left we've got tons of space here yeah that's the sort of position you want to stay in throughout is the road's really wide we don't need to be so close to the center all right what we're going to be doing now is at the next set of traffic lights we're going to turn right again will this be um offside well we'll have to see according to the junction yes i know it's a big one yeah most likely then so if the turning for you is quite far ahead then it's more likely to be an offside good now make sure you don't go over that solid lining brilliant all right so you can see your turn is quite far ahead yeah yeah so whereabouts in the junction are you going to go and stop like kind of the middle of it past the middle you see where that yellow bollard is,923.12,999.519,869,193,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=923,"Critical level: 3 - While there may be some slight complexity in the upcoming turn, there is plenty of space and no immediate danger.","Just use your mirrors and keep an eye on that guy behind. He's not trying to overtake anything, but just further to the left. We've got tons of space here. Yeah, that's the sort of position you want to stay in throughout. If the road's really wide, we don't need to be so close to the center. Alright, what we're going to be doing now is at the next set of traffic lights, we're going to turn right again. Will this be an offside? Well, we'll have to see according to the junction. Yes, I know it's a big one. Most likely then. So, if the turning for you is quite far ahead, then it's more likely to be an offside. Good. Now make sure you don't go over that solid lining. Brilliant. Alright, so you can see your turn is quite far ahead. Yeah, yeah. So, whereabouts in the junction are you going to go and stop? Like, kind of the middle of it, past the middle. You see where that yellow bollard is."
ahead yeah we're just going to be just before that so we can be over across towards the bottom but just not overhanging that line so from here we're going to go all the way up to that traffic light so how many cars can position for a near offside okay so go all the way position across and then stop about that yeah there you go as soon as the road's clear we can turn yeah ready okay now the speed on this road did you see the signs no i didn't okay there was a forty sign just as we entered there you'll see another sign just keep looking it's pretty tricky with all the uh trees overgrowing all the signs are hidden and there it is completely hidden should we try foursquare when you get the chance just be careful with this guy because he's probably here for a reason the last lesson we looked at engine braking yeah just make sure when you have to slow down that you try and use a bit of engine braking as well as the foot brake,1001.6,1092.08,933,200,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1001,"The driving situation is a 2, as there is light traffic and no immediate danger present.","Ahead, yeah we're just going to be just before that so we can be over, across towards the bottom, but just not overhanging that line. So from here, we're going to go all the way up to that traffic light. So, how many cars can position for near offside? Ok, so go all the way, position across, and then stop about that. Yeah, there you go. As soon as the road's clear, we can turn. Yeah, ready? Okay, now the speed on this road, did you see the signs? No, I didn't. Okay, there was a 40 sign just as we entered. There you'll see another sign, just keep looking. It's pretty tricky with all the trees overgrowing. All the signs are hidden, and there it is, completely hidden. Should we try four square? When you get the chance, just be careful with this guy because he's probably here for a reason. The last lesson we looked at engine braking. Just make sure when you have to slow down that you try and use a bit of engine braking as well as the foot brake."
you can see the traffic behind not really that close yeah okay so what should we start doing now then to use a bit of foot break why do we want to use the foot brake just to slow down give us time to do it think about the brake lights at the back oh yeah it's more so to mourn the traffic than anything isn't that good what good do you need to be in now yeah two's okay because it's downhill it'll work just really slowly there so count locked in three as you lift up so we're just going to go ahead from here when we get to the roundabout we're going to turn we're going to turn left it's the first exit when we get to the roundabout yeah we're just going to try a few more of the different near side and offside turns around here good start using that accelerator a bit more just keep it on the vehicle on your right the black one because they're a bit close to that line,1099.44,1175.6,873,193,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1099,"Criticality: 4 - The traffic is not too close and the situation is manageable, but still requires attention and slowing down.","You can see the traffic behind, not really that close. Yeah, okay. So, what should we start doing now? Then, to use a bit of foot brake. Why do we want to use the foot brake? Just to slow down, give us time to do it. Think about the brake lights at the back. Oh yeah, it's more so to warn the traffic than anything. Isn't that good? What gear do you need to be in now? Two's okay because it's downhill. It'll work, just really slowly there. So, count locked in three as you lift up. So, we're just going to go ahead from here. When we get to the roundabout, we're going to turn left. It's the first exit when we get to the roundabout. Yeah, we're just going to try a few more of the different near-side and off-side turns around here. Good, start using that accelerator a bit more. Just keep it on the vehicle on your right, the black one, because they're a bit close to that line."
aren't they we're going left to go where the van is,1176.799,1179.2,51,13,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1176,2 - The situation is mildly critical as the driver is simply navigating a left turn towards a van.,Aren't they? We're going left to go where the van is.
yeah so on approach to that stop in fourth gear you were already slow so going into third wasn't really an issue with the break it was more just to warn the traffic because your car is really slow yeah clutch down don't worry about it it's okay accelerate and slow clutch it happens all right do we need to signal for fast exit uh yeah yes go into that corner just check the right side as we're leaving why we need to check the right side there cycle cyclists passing on yeah because the two lanes are merging on the exit can we keep going when it's flashing yeah yeah okay okay so why did the engine switch off back there um clutch up yeah i didn't do it three seconds yeah and what about the accelerator did you use that at all uh no i didn't know yeah i couldn't really hear it so you need to find the right balance on the two there it's always that stuff like that now because i know he's going so i think i,1196.24,1271.36,911,193,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1196,"would rate the driving situation a 5, because there are some potential hazards to be aware of (e.g. cyclists passing, merging lanes), but they are not immediate or urgent concerns.","Yeah, so on approach to that stop, in fourth gear, you were already slow, so going into third wasn't really an issue with the brake. It was more just to warn the traffic because your car is really slow. Yeah, clutch down, don't worry about it, it's okay. Accelerate and slow. Clutch down. It happens. Alright, do we need to signal for fast exit? Uh, yeah, yes. Go into that corner. Just check the right side as we're leaving. Why do we need to check the right side? There are cyclists passing on. Yeah, because the two lanes are merging on the exit. Can we keep going when it's flashing? Yeah, yeah, okay, okay. So why did the engine switch off back there? Um, clutch up. Yeah, I didn't do it three seconds. And what about the accelerator? Did you use that at all? Uh, no, I didn't. No, I couldn't really hear it, so you need to find the right balance on the two there. It's always that stuff like that now because I know he's going, so I think I..."
need to get off quick and then i just stall it yeah now that happens so which lane is going straight yeah check the mirrors now brake on approach that the lights are on and once you're slow enough and then good then get ready so you have to move off faster you can go now after these two of course accelerate and sturdy clutch couldn't hear the accelerator again that time try and get it in early breaking good so right foot again use it and really slow with your left foot turn right just in here checking that right hand side again can we go into that middle space try and fit yourself into that box a bit better breaking and signal again and then in your own time turn yeah it's really important we try and fit into that middle space otherwise you're gonna overhang in the road yeah yeah i think i have a bit about 45 degrees there i think we were okay by the end maybe the tail was very slightly out but the road behind was wide enough then turn left at the end,1272.799,1365.44,965,197,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1272,"Critical level: 7, there are several moments where the driver needs to be aware of their surroundings, check mirrors, use the correct foot, properly brake, and fit into a space to avoid any accidents.","""I need to get off quick and then I just stall it. Yeah, now that happens. So which lane is going straight? Yeah, check the mirrors. Now brake on approach. That the lights are on, and once you're slow enough and then good, then get ready so you have to move off. Faster, you can go now after these two. Of course, accelerate and sturdy clutch. Couldn't hear the accelerator again that time. Try and get it in early. Breaking good, so right foot again, use it, and really slow with your left foot. Turn right, just in here checking that right-hand side again. Can we go into that middle space? Try and fit yourself into that box a bit better. Breaking and signal again, and then in your own time turn. Yeah, it's really important we try and fit into that middle space, otherwise, you're gonna overhang in the road. Yeah, yeah, I think I have a bit about 45 degrees there. I think we were okay by the end. Maybe the tail was very slightly out but the road behind was wide enough. Then turn left at the end."""
so you can't see the road marking clearly but you can see that red sign on the left so think about your approach for this so this will have to be nice clutch control because it's a tight turn make sure,1369.919,1389.6,201,43,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1369,Criticality: 6 - The driving situation is fairly critical as the road markings are unclear and the driver has to rely on alternative cues to make a turn safely.,"So, you can't see the road marking clearly, but you can see that red sign on the left. So, think about your approach for this. This will have to be nice clutch control because it's a tight turn. Make sure..."
soon as we turn into a new road use the mirrors what's happened up there uh roadworks roadworks what about the traffic lights uh yeah temporary traffic but they're not working are they okay so it's a bit of a crazy junction they'll slow it right down just cautious here because we're having to go on the wrong side of the road first gear we'll have to wait for the road ahead to be clear we should be able to go in with the vans but keep an eye on the traffic as well because it's not our priority here the traffic lights me i think the man is probably sorting them out soon but um it might it might just be that the reds not working yeah or that they're completely dead i can't tell so the road ahead's clear use your mirror to the right slowly that's it there is a car there but just careful now so we're going to go right at the traffic the roundabout sorry it's a signal on,1407.6,1460.24,877,192,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1407,"Critical level: 8 - The situation is critical as there are roadworks, temporary traffic lights not working, and a crazy junction where the car has to go on the wrong side of the road. The instructor advises the driver to slow down and be cautious, and keep an eye on the traffic as it's not their priority.","As soon as we turn into a new road, use the mirrors. What's happened up there? Uh, roadworks. Roadworks. What about the traffic lights? Uh, yeah, temporary traffic, but they're not working, are they? Okay, so it's a bit of a crazy junction. They'll slow it right down. Just be cautious here because we're having to go on the wrong side of the road. First gear, we'll have to wait for the road ahead to be clear. We should be able to go in with the vans, but keep an eye on the traffic as well because it's not our priority here. The traffic lights, me, I think the man is probably sorting them out soon, but um, it might just be that the reds not working, yeah, or that they're completely dead. I can't tell, so the road ahead's clear. Use your mirror to the right. Slowly. That's it. There is a car there, but just be careful now. So we're going to go right at the traffic roundabout. Sorry, it's a signal on."
it's really cautious so with temporary lights that are out that are um so the crossing here is blocked off his head wouldn't stop for pedestrians there unless they're already in the road okay take the next road on the right,1461.919,1478.64,223,44,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1461,"Critical level: 7 - The temporary lights being out and the crossing being blocked off make the situation quite critical, and the instructor's warning about the driver not stopping for pedestrians adds to the severity.","It's really important to be cautious with temporary lights that are out, that are, um, blocking the crossing here. It's crucial that you stop for pedestrians, even if they're not in the road yet. Okay, take the next road on the right."
good but with your right hands try and use your right hand first as opposed to taking your left hand across all right was that tone all right or did i turn too early the turning point was fine yeah just with the temporary traffic lights when they're out like that just be really cautious as there's no set priority but because their side of the road is cleared they're bound to just keep coming through just maneuver through it safely using mirrors and eye contact okay so the traffic lights up there we're going to turn right can i go behind that blue check mirrors and signal right if no one's ahead you can move over and then come back in come back in a bit more and sing away provided the road ahead is clear you are allowed to come over and come in if it's not safe you can just wait back there as well all right so nearsider outside um okay but how many vehicles have we got ahead definitely two maybe three mm-hmm yeah i think three okay so,1500.24,1582.88,947,194,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1500,Critical situation: 3 - Temporary traffic lights being out can make the situation unpredictable and caution is needed to maneuver through it safely.,"Good, but with your right hand, try and use your right hand first, as opposed to taking your left hand across. All right, was that turn all right, or did I turn too early? The turning point was fine. Yeah, just with the temporary traffic lights, when they're out like that, just be really cautious as there's no set priority. But because their side of the road is cleared, they're bound to just keep coming through. Just maneuver through it safely, using mirrors and eye contact. Okay, so the traffic lights up there, we're going to turn right. Can I go behind that blue? Check mirrors and signal right. If no one's ahead, you can move over and then come back in. Come back in a bit more and signal away. Provided the road ahead is clear, you are allowed to come over and come in. If it's not safe, you can just wait back there as well. All right, so nearside or outside? Um, okay, but how many vehicles have we got ahead? Definitely two, maybe three. Mm-hmm. Yeah, I think three. Okay. So..."
so if the lights are still green and they happen to get through then we can shuffle forward yeah definitely use the accelerator when you go oh what about the lights so we've made the traffic lights like this only really sort of two cars tend to get through yeah if the road had cleared up earlier then maybe we could have got through oh okay so again think about where you're going to go and wait so again using the bollard head as your guide so the second car shouldn't actually overhang the yellow box should they no so both cars should be on the other side you can see coming in from the other side it's more of a near side he's um yeah that's what i was going to ask is that near side offside because he wasn't more nearside because with their position they're at the angle of the turn is sort of they're coming back in yeah it's not a 90 degree angle so it's a sharper turn for them which is why it's near side,1586.799,1661.12,915,199,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1586,"2 - The driving situation is not very critical, as they are discussing how to navigate a specific junction and making observations about other vehicles around them, but there is no immediate danger or urgency.","So, if the lights are still green and they happen to get through, then we can shuffle forward. Yeah, definitely use the accelerator when you go. Oh, what about the lights? So, we've made the traffic lights like this. Only really sort of two cars tend to get through. Yeah, if the road had cleared up earlier, then maybe we could have got through. Oh, okay. So, again, think about where you're going to go and wait. So, again, using the bollard head as your guide. So, the second car shouldn't actually overhang the yellow box, should they? No, so both cars should be on the other side. You can see coming in from the other side, it's more of a near side. He's, um, yeah, that's what I was going to ask. Is that near side offside because he wasn't more nearside? Because with their position, they're at the angle of the turn, it's sort of, they're coming back in. Yeah, it's not a 90 degree angle, so it's a sharper turn for them, which is why it's near side."
okay ready touchdown accelerate and slow clutch go on try again accelerate turn it all the way it's all right turn it back in quickly and off you go gonna be quicker now you can't be trying to get away with the clutch that fast you're not going to go away your right foot i don't feel like you're using the accelerator ted stalled at the traffic lights because he tried to move away without the accelerator and the clutch was too fast as he recovered quite quickly this didn't really cause any inconvenience to others so this would not be an issue i'm gonna be taking the exit coming off here you can see the signs overhead the two right lanes where do they go um on the motorway right yeah it's blue signs where's the side screen so staying in the far left as you come off good where should your right foot be yeah so you want to be using the brake lights break some more go for the next gear yeah what about the clutch,1685.919,1780.88,920,189,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1685,"Critical level: 4 - While there are some instructions being given, the driving situation is not overly critical as the driver is making their way off the motorway exit and there are no other cars immediately around them.","Okay, ready? Touchdown, accelerate, and slow, clutch. Go on, try again. Accelerate, turn it all the way. It's all right, turn it back in quickly and off you go. Gonna be quicker now. You can't be trying to get away with the clutch that fast. You're not going to go away. Your right foot, I don't feel like you're using the accelerator. Ted stalled at the traffic lights because he tried to move away without the accelerator, and the clutch was too fast. As he recovered quite quickly, this didn't really cause any inconvenience to others, so this would not be an issue. I'm gonna be taking the exit coming off here. You can see the signs overhead. The two right lanes, where do they go? Um, on the motorway, right? Yeah, it's blue signs. Where's the side screen? So staying in the far left as you come off. Good. Where should your right foot be? Yeah, so you want to be using the brake lights. Brake some more, go for the next gear. What about the clutch?"
clutch up really slow really pull it out slowly we're gonna go left first exit from here all right so are you going to try and use the accelerator okay yeah well so if you want to move off faster how do you do that with the accelerator and what about the clutch leave it keep it still gotta come up in three seconds okay so i've hold the biting point there you go good so build it up to the minimum speed with first yeah and what is the minimum speed um ten twelve about five in first gear so once you've built it up to the minimum speed you can then come off the touch breaking get ready again all right so again it's gonna be the same thing as it goes amber start accelerating and finding the biting point yeah there it is once you've got the minimum you can let go okay we're going to move into the right hand lane when safe so just using mirrors and signal keeping an eye on that white car can you see here in the top yeah yeah and move over you can see,1785.2,1857.76,957,202,W9LsbUVb3f4,2495,https://youtu.be/W9LsbUVb3f4?t=1785,3 - The driving situation is not very critical as the instructor is guiding the learner driver through a simple lane change and there are no other immediate hazards around.,"Clutch up really slow. Really pull it out slowly. We're gonna go left, first exit from here. Alright, so are you going to try and use the accelerator? Okay, yeah. Well, so if you want to move off faster, how do you do that? With the accelerator. And what about the clutch? Leave it, keep it still. Gotta come up in three seconds. Okay, so I have the biting point. There you go. Good. So build it up to the minimum speed with first. Yeah. And what is the minimum speed? Um, ten-twelve, about five in first gear. So once you've built it up to the minimum speed, you can then come off the clutch, breaking, get ready again. Alright, so again, it's gonna be the same thing. As it goes amber, start accelerating and finding the biting point. Yeah, there it is. Once you've got the minimum, you can let go. Okay, we're going to move into the right-hand lane when safe. So just using mirrors and signal, keeping an eye on that white car. Can you see it here in the top? Yeah. Yeah. And move over. You can see."
